,Longitude,Latitude,Code,Metro,Cluster,Region
1,-124.6333008,47.90000153,UIL,UIL,1,A
2,-124.4231033,42.41360092,GOL,GOL,2,B
3,-124.4167023,43.11669922,BDY,BDY,2,B
4,-124.2889023,42.0746994,BOK,BOK,2,B
5,-124.2399979,43.41889954,OTH,OTH,2,B
6,-124.2358017,41.77999878,CEC,CEC,2,B
7,-124.1149979,40.80500031,EKA,ACV,2,B
8,-124.1110992,43.98279953,FMU,FMU,1,A
9,-124.1074982,40.97919846,ACV,ACV,2,B
10,-124.0578003,44.57939911,ONP,ONP,1,A
11,-123.9499969,45.23329926,PFC,PFC,1,A
12,-123.9356003,46.97109985,HQM,HQM,1,A
13,-123.9283447,40.71874619,NLN,ACV,2,B
14,-123.8799973,46.15969849,AST,AST,1,A
15,-123.8142014,42.41809845,OTK,OTK,2,B
16,-123.8135986,45.41859818,VWG,VWG,1,A
17,-123.7944031,39.47439957,FOB,FOB,2,B
18,-123.6821976,42.10419846,RQN,RQN,2,B
19,-123.5986023,40.49309921,WQE,WQE,2,B
20,-123.4935989,48.1189003,CLM,CLM,1,A
21,-123.3878021,42.50999832,GTP,GTP,2,B
22,-123.3597031,43.23889923,RBG,RBG,2,B
23,-123.2869034,44.49720001,CVO,CVO,1,A
24,-123.2833023,44.58330154,QWY,CVO,1,A
25,-123.2174988,44.12080002,EUG,EUG,1,A
26,-123.1999969,39.12670135,UKI,UKI,2,B
27,-123.1853027,48.09780121,SQV,SQV,1,A
28,-123.1735992,48.67499924,SSW,SSW,1,A
29,-123.1389008,47.23389816,SHN,SHN,1,A
30,-123.1371994,48.61249924,RCE,RCE,1,A
31,-123.0333023,48.71670151,WDN,WDN,1,A
32,-123.0239029,48.52640152,FRD,FRD,1,A
33,-123.0061035,48.54359818,FBS,FRD,1,A
34,-123.0030975,48.62080002,DHB,DHB,1,A
35,-123.0014038,44.91030121,SLE,SLE,1,A
36,-123,48.59999847,CKR,CKR,1,A
37,-122.9832993,45.51670074,HIO,HIO,1,A
38,-122.981102,46.6739006,CLS,CLS,1,A
39,-122.9356003,48.48279953,LPS,LPS,1,A
40,-122.9124985,48.70830154,ESD,ESD,1,A
41,-122.9032974,46.97359848,OLM,OLM,1,A
42,-122.9000015,46.15000153,KLS,KLS,1,A
43,-122.8833008,46.11669922,LOG,LOG,1,A
44,-122.8833008,48.66669846,WSX,WSX,1,A
45,-122.8722,42.37360001,MFR,MFR,2,B
46,-122.8499985,46.43330002,TDO,TDO,1,A
47,-122.8499985,48.63330078,RSJ,RSJ,1,A
48,-122.8302002,48.48989868,QQA,QQA,1,A
49,-122.8249969,48.57920074,BYW,BYW,1,A
50,-122.8167038,47.48329926,CWS,CWS,1,A
51,-122.8116989,38.50920105,STS,STS,2,B
52,-122.8106003,45.08359909,TWO,TWO,1,A
53,-122.8031006,48.50999832,DTR,DTR,1,A
54,-122.8000031,48.04999924,TWD,TWD,1,A
55,-122.763298,47.48500061,PWT,PWT,1,A
56,-122.7298965,48.98939896,BWS,BWS,1,A
57,-122.6725006,48.25329971,ODW,ODW,1,A
58,-122.6611023,48.49919891,OTS,OTS,1,A
59,-122.6605988,42.19029999,AHM,AHM,2,B
60,-122.6500015,47.73329926,PUL,PUL,1,A
61,-122.6333008,41.73329926,RKC,RKC,2,B
62,-122.6222,38.93470001,CKE,CKE,2,B
63,-122.6053009,38.25780106,UXK,UXK,2,B
64,-122.5950012,45.58919907,PDX,PDX,1,A
65,-122.5792007,47.08330154,GRF,TIW,1,A
66,-122.5730972,47.27059937,TIW,TIW,1,A
67,-122.5569,38.14440155,NOT,NOT,2,B
68,-122.5453033,41.73049927,ROF,SIY,2,B
69,-122.5346985,48.79439926,BLI,BLI,1,A
70,-122.5333023,37.96670151,JSG,SRF,2,B
71,-122.5222015,38.01530075,SRF,SRF,2,B
72,-122.509697,37.87860107,JMC,JMC,2,B
73,-122.4742966,47.13800049,TCM,TIW,1,A
74,-122.4669037,41.78170013,SIY,SIY,2,B
75,-122.4531021,41.47470093,VWM,VWM,2,B
76,-122.4332962,37.46670151,HAF,HAF,2,B
77,-122.4167023,37.75,JCC,SFO,2,B
78,-122.4080963,40.57389832,BZF,BZF,2,B
79,-122.3967972,45.54790115,TTD,TTD,1,A
80,-122.375,37.62530136,EMB,SFO,2,B
81,-122.3728027,37.61940002,SFO,SFO,2,B
82,-122.3499985,39.88330078,WLW,WLW,2,B
83,-122.3332977,47.61669922,LKE,SEA,1,A
84,-122.3332977,48.41669846,MVW,MVW,1,A
85,-122.3167038,41.31669998,MHS,MHS,2,B
86,-122.3080978,47.44919968,SEA,SEA,1,A
87,-122.3000031,37.83330154,JEM,JEM,2,B
88,-122.3000031,37.86669922,JBK,JBK,2,B
89,-122.2994003,47.52890015,BFI,SEA,1,A
90,-122.2921982,40.50830078,RDD,RDD,2,B
91,-122.2833023,48.20000076,NUW,ODW,1,A
92,-122.2814026,47.90829849,PAE,PAE,1,A
93,-122.2799988,38.21220016,APC,APC,2,B
94,-122.2680969,47.73830032,KEH,KEH,1,A
95,-122.2667007,37.81669998,JCE,OAK,2,B
96,-122.2510986,40.15140152,RBL,RBL,2,B
97,-122.25,37.76670074,NGZ,NGZ,2,B
98,-122.2493973,37.51190186,SQL,SQL,2,B
